"Compounds ID"	"Tags"	"Checked"	"Name"	"Formula"	"Annot. Source: Predicted Compositions"	"Annot. Source: mzCloud Search"	"Annot. Source: mzVault Search"	"Annot. Source: ChemSpider Search"	"Annot. DeltaMass [ppm]"	"Calc. MW"	"m/z"	"RT [min]"	"Area (Max.)"	"# ChemSpider Results"	"# mzCloud Results"	"# mzVault Results"	"mzCloud Best Match"	"mzCloud Best Match Confidence"	"mzCloud Best Sim. Match"	"mzVault Best Match"	"# Usable QC"	"RSD QC Areas [%]"	"RSD Corr. QC Areas [%]"	"MS2"	"Reference Ion"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 1.raw (F49)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 2.raw (F50)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 3.raw (F51)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 4.raw (F52)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 5.raw (F53)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 6.raw (F54)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 7.raw (F55)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 8.raw (F56)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 9.raw (F57)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 10.raw (F58)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 11.raw (F59)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 12.raw (F60)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 13.raw (F61)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 14.raw (F62)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 15.raw (F63)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 16.raw (F64)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 17.raw (F65)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 18.raw (F66)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 19.raw (F67)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 20.raw (F68)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 21.raw (F69)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 22.raw (F70)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 23.raw (F71)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 24.raw (F72)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 25.raw (F73)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 26.raw (F74)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 27.raw (F75)"	"Norm. Area: 230201_SG_Fredrik_HILIC_biological sample 28.raw (F76)"	"Norm. Area: 230201_SG_Fredrik_HILIC_extractionblank_2.raw (F77)"	"Norm. Area: 230201_SG_Fredrik_HILIC_QCPool_1.raw (F81)"	"Norm. Area: 230201_SG_Fredrik_HILIC_QCPool_2.raw (F82)"	"Norm. Area: 230201_SG_Fredrik_HILIC_QCPool_3.raw (F83)"	"Norm. Area: 230201_SG_Fredrik_HILIC_QCPool_4.raw (F84)"	"Norm. Area: 230201_SG_Fredrik_HILIC_QCPool_5.raw (F85)"	"Norm. Area: 230201_SG_Fredrik_HILIC_QCPool_6.raw (F86)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 1.raw (F49)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 2.raw (F50)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 3.raw (F51)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 4.raw (F52)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 5.raw (F53)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 6.raw (F54)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 7.raw (F55)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 8.raw (F56)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 9.raw (F57)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 10.raw (F58)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 11.raw (F59)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 12.raw (F60)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 13.raw (F61)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 14.raw (F62)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 15.raw (F63)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 16.raw (F64)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 17.raw (F65)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 18.raw (F66)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 19.raw (F67)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 20.raw (F68)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 21.raw (F69)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 22.raw (F70)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 23.raw (F71)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 24.raw (F72)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 25.raw (F73)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 26.raw (F74)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 27.raw (F75)"	"Peak Rating: 230201_SG_Fredrik_HILIC_biological sample 28.raw (F76)"	"Peak Rating: 230201_SG_Fredrik_HILIC_extractionblank_2.raw (F77)"	"Peak Rating: 230201_SG_Fredrik_HILIC_QCPool_1.raw (F81)"	"Peak Rating: 230201_SG_Fredrik_HILIC_QCPool_2.raw (F82)"	"Peak Rating: 230201_SG_Fredrik_HILIC_QCPool_3.raw (F83)"	"Peak Rating: 230201_SG_Fredrik_HILIC_QCPool_4.raw (F84)"	"Peak Rating: 230201_SG_Fredrik_HILIC_QCPool_5.raw (F85)"	"Peak Rating: 230201_SG_Fredrik_HILIC_QCPool_6.raw (F86)"
"1"	"D"	"False"	"Ethylenediaminetetraacetic acid"	"C10 H16 N2 O8"	"Full match"	"Invalid mass"	"No results"	"Full match"	"0.68"	"292.09086"	"291.08359"	"7.983"	"6757806288.94748"	"1"	"2"	"0"	""	""	"42.0"	""	"6"	"7"	"4"	"PreferredDDA"	"[M-H]-1"	"3098653640.21179"	"2807693981.79392"	"4837567084.46392"	"4215121315.08712"	"4113805438.51745"	"3989738810.51597"	"3995475096.97945"	"3338343411.2537"	"5584235022.55945"	"2536529264.28443"	"3383788354.18871"	"2352737407.82048"	"4151573384.86828"	"3316550313.83734"	"3653798228.46219"	"2980401581.00591"	"3411857995.05423"	"2653178737.30848"	"4030456331.95119"	"5791541721.16345"	"2707477352.96898"	"4029273761.97216"	"1883390722.12475"	"6322808564.00958"	"4417630657.10059"	"3935387918.72427"	"3444814983.77952"	"2781937734.18205"	"15578.2677051968"	"3989739569.81183"	"4031425579.78658"	"3847229896.31989"	"3658608613.25985"	"3822597032.45537"	"4103230944.38547"	"9.5"	"8.9"	"10.0"	"9.5"	"10.0"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"	"8.9"	"9.5"	"8.4"	"10.0"	"8.4"	"8.9"	"9.5"	"10.0"	"9.5"	"10.0"	"8.9"	"9.5"	"9.5"	"8.9"	"8.4"	""	"8.4"	"8.9"	"8.4"	"9.5"	"10.0"	"8.9"
"5"	"B"	"False"	"L-(+)-Lactic acid"	"C3 H6 O3"	"Full match"	"Full match"	"No results"	"Full match"	"1.30"	"90.03181"	"89.02453"	"3.057"	"2720576534.65484"	"16"	"2"	"0"	"98.9"	"9.9"	""	""	"6"	"11"	"4"	"PreferredDDA"	"[M-H]-1"	"592756434.872921"	"1771333420.13967"	"1539326423.20836"	"1589139537.59018"	"1831985719.32324"	"1464248541.43484"	"312187428.253076"	"1024598586.69431"	"1385122348.90191"	"1016318654.07151"	"1042135236.11101"	"599352991.893793"	"1565764101.97418"	"1190691881.5275"	"443223314.229639"	"1169364216.90946"	"909331379.710302"	"781366383.951887"	"272020499.844196"	"1603014461.15745"	"287454400.441749"	"246341297.031458"	"226230031.189633"	"1234851428.87488"	"2420679021.85398"	"466005634.559926"	"398514826.177752"	"1265326359.5307"	"7273382.18389238"	"1210350442.34848"	"1206344973.61505"	"1140093256.45384"	"1119553613.24158"	"1127196979.22144"	"1237814893.93232"	"8.9"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"10.0"	"8.9"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"9.5"	"10.0"	"9.5"	"9.5"	"9.5"	"9.5"	"8.9"	"10.0"	"8.9"	"8.9"	"8.9"	"8.4"	"9.5"	"8.9"	"9.5"	""	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"
"8"	"C"	"False"	"cis,cis-Muconic acid"	"C6 H6 O4"	"No results"	"Invalid mass"	"No results"	"No match"	"-14.83"	"142.02450"	"141.01723"	"5.269"	"1817666926.50469"	"1"	"1"	"0"	"39.5"	"7.0"	""	""	"6"	"10"	"4"	"PreferredDDA"	"[M-H]-1"	"1602475854.84254"	"1481895587.81766"	"1621131470.37296"	"1555708876.05356"	"1498830281.14279"	"1477186396.15341"	"1502520769.60783"	"1452798231.9063"	"1457659155.0615"	"1481390804.69529"	"1444040645.01148"	"1430954802.62763"	"1362052132.73099"	"1435214295.64821"	"1465350194.61167"	"1364851280.12313"	"1441667480.33703"	"1418434355.05069"	"1409759409.7333"	"1391792521.98656"	"1358402883.078"	"1437748768.36552"	"1331382654.27152"	"1351458965.25031"	"1334441948.08061"	"1403985913.94985"	"1345811347.56382"	"1305532719.8717"	"242620560.890894"	"1540272619.01982"	"1538139580.68233"	"1483788062.00661"	"1453442557.62551"	"1428346245.75535"	"1588455247.57427"	"9.5"	"9.5"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"	"8.9"	"8.9"	"9.5"	"8.9"	"9.5"	"9.5"	"9.5"	"10.0"	"9.5"	"10.0"	"9.5"	"9.5"	"9.5"	"5.1"	"9.5"	"8.9"	"9.5"	"9.5"	"8.9"	"10.0"
"4"	"D"	"False"	"1-Pentofuranosyl-1,3-dihydro-2H-imidazol-2-one"	"C8 H12 N2 O5"	"No results"	"Invalid mass"	"No results"	"Full match"	"1.03"	"216.07484"	"215.06757"	"7.238"	"906595927.391536"	"6"	"8"	"0"	""	""	"61.7"	""	"6"	"6"	"5"	"PreferredDDA"	"[M-H]-1"	"537459132.021648"	"489641163.204519"	"716422072.421413"	"609412432.183563"	"592666961.861139"	"565336941.290795"	"569114977.115507"	"519783489.130211"	"736657143.500883"	"408840569.249707"	"483556306.253724"	"397149515.171594"	"539800066.556938"	"481108922.943375"	"508090921.790473"	"463813635.394874"	"517147566.733965"	"480467229.806155"	"635874286.105709"	"787347505.853299"	"468428870.941258"	"612037748.781973"	"363985101.949855"	"885302152.730364"	"139251288.360754"	"541946554.537602"	"544084265.748506"	"437422880.391925"	"6788.13457801681"	"582400153.10724"	"572425657.364052"	"539589267.183794"	"547160557.865754"	"522877325.387246"	"601900224.063149"	"9.5"	"8.9"	"8.9"	"8.9"	"9.5"	"8.9"	"10.0"	"9.5"	"9.5"	"8.9"	"9.5"	"8.9"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"8.9"	"10.0"	"10.0"	"9.5"	"8.9"	"10.0"	"9.5"	"9.5"	"9.5"	"10.0"	"9.5"	""	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"9.5"
"2"	"B"	"False"	"Oleic acid"	"C18 H34 O2"	"Full match"	"Full match"	"No results"	"Full match"	"0.01"	"282.25588"	"281.24861"	"0.596"	"820783995.965729"	"123"	"5"	"0"	"85.4"	"9.3"	""	""	"6"	"10"	"6"	"PreferredDDA"	"[M-H]-1"	"794245897.352335"	"436174633.897662"	"190049545.169588"	"483183532.760633"	"682557346.99398"	"443615999.776286"	"638259627.390042"	"231841298.114998"	"161874197.280342"	"254581466.3152"	"447663667.556728"	"528883463.354833"	"399638325.278775"	"120198287.106708"	"701126568.363109"	"135342005.574361"	"136263061.360949"	"249007242.832086"	"651771817.661503"	"518941009.241455"	"631427376.828166"	"673758337.816747"	"467403008.829958"	"423044676.119377"	"168567503.62805"	"740667644.399054"	"728558027.200588"	"192140612.528108"	"126631.965992117"	"470489610.584667"	"494872680.165767"	"415517031.436293"	"443494599.272879"	"450229435.156969"	"483354701.73046"	"10.0"	"8.9"	"10.0"	"10.0"	"10.0"	"8.9"	"10.0"	"10.0"	"9.5"	"8.9"	"9.5"	"10.0"	"8.9"	"10.0"	"8.9"	"10.0"	"10.0"	"10.0"	"8.9"	"8.9"	"8.9"	"10.0"	"10.0"	"8.9"	"10.0"	"10.0"	"9.5"	"10.0"	""	"10.0"	"8.9"	"10.0"	"10.0"	"10.0"	"9.5"
"3"	"B"	"False"	"10(E),12(Z)-Conjugated linoleic acid"	"C18 H32 O2"	"Full match"	"Full match"	"No results"	"Not the top hit"	"1.82"	"280.24074"	"279.23346"	"0.601"	"585271756.352279"	"139"	"6"	"0"	"87.7"	"9.4"	""	""	"6"	"14"	"8"	"PreferredDDA"	"[M-H]-1"	"642823648.006591"	"255795000.058744"	"120350635.772104"	"321781400.255112"	"389069415.709481"	"297224302.971842"	"450604075.732759"	"107803766.889219"	"49756358.1025523"	"138313660.982239"	"266242349.138119"	"404917323.824874"	"227642248.488783"	"75707732.5444643"	"471015232.41458"	"82138488.7843854"	"87848250.0152965"	"115657658.942994"	"416753412.107439"	"320959286.621934"	"361593601.310747"	"354208098.019747"	"341590180.980903"	"222245306.486263"	"113794210.70066"	"460233232.610207"	"378705661.236365"	"101967230.763541"	"25549.0067265755"	"307568007.306388"	"329673558.927216"	"283791818.586264"	"281850856.050438"	"279328063.248824"	"331108339.089318"	"9.5"	"9.5"	"10.0"	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	""	"9.5"	"9.5"	"9.5"	"9.5"	"9.5"	"8.4"
"31"	""	"False"	"ALPHA-D-GLUCOSE"	"C6 H12 O6"	"Full match"	"Partial match"	"Full match"	"Partial match"	"2.24"	"180.06379"	"179.05651"	"4.827"	"533649318.064452"	"101"	"17"	"2"	"82.4"	"9.1"	"49.1"	"79.1"	"6"	"4"	"1"	"PreferredDDA"	"[M-H]-1"	"187019333.876787"	"122676199.793227"	"151905374.52122"	"115038722.148467"	"117886482.021526"	"108039918.256236"	"191889873.288484"	"125056543.565567"	"116099103.812681"	"135237880.210193"	"116691473.036381"	"157238179.210557"	"105462037.22558"	"128787905.99067"	"163917426.922181"	"120045288.091493"	"138540018.035407"	"131161380.673268"	"169526384.639978"	"134330781.844353"	"214410272.356273"	"171195071.434341"	"142897955.804824"	"93872811.7618467"	"508179468.524856"	"194982101.041854"	"187115768.466552"	"144516152.495376"	"13040.8939263424"	"176095011.390062"	"175679374.278667"	"174558138.773624"	"173327803.455202"	"177857361.007467"	"174747557.608579"	"7.8"	"9.5"	"7.8"	"7.8"	"8.9"	"8.4"	"8.4"	"8.4"	"7.8"	"8.4"	"8.9"	"8.4"	"8.9"	"8.4"	"8.4"	"8.4"	"8.9"	"8.9"	"8.4"	"8.9"	"8.4"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"9.5"	"8.9"	""	"8.4"	"8.4"	"8.4"	"8.9"	"8.9"	"8.9"
"16"	"D"	"False"	"2,4-Dinitrophenyl 4-methylphenyl sulfoxide"	"C13 H10 N2 O5 S"	"No match"	"No results"	"No results"	"Full match"	"-1.27"	"306.03065"	"305.02338"	"5.265"	"498847090.056298"	"3"	"0"	"0"	""	""	""	""	"6"	"9"	"2"	"PreferredDDA"	"[M-H]-1"	"452148563.732172"	"411453704.213912"	"461152171.495384"	"439690937.13413"	"423368107.622364"	"411133837.440507"	"426919569.468364"	"407710996.592418"	"414562228.345896"	"426918526.415129"	"409819951.056401"	"406158380.767845"	"383243193.812883"	"412891747.66687"	"425527864.829865"	"388845354.455513"	"417229066.707692"	"408424362.471117"	"407313057.382675"	"400519435.070771"	"395932605.169325"	"419951421.047626"	"381349055.816398"	"389311517.170764"	"385967978.446159"	"411550788.230506"	"393269529.407006"	"385513383.001452"	"596422.770653996"	"436056076.659994"	"434995701.452575"	"427119402.803761"	"419938452.167326"	"419085137.454171"	"443294894.045513"	"10.0"	"8.9"	"9.5"	"9.5"	"10.0"	"10.0"	"10.0"	"10.0"	"9.5"	"10.0"	"10.0"	"10.0"	"8.4"	"10.0"	"10.0"	"9.5"	"10.0"	"9.5"	"10.0"	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"	"10.0"	"9.5"	"10.0"	"10.0"	""	"10.0"	"8.4"	"9.5"	"10.0"	"10.0"	"9.5"
"6"	"D"	"False"	"4,4-Thiobis(6-t-butyl-m-cresol)"	"C22 H30 O2 S"	"Full match"	"No results"	"No results"	"Full match"	"1.02"	"358.19702"	"357.18974"	"0.527"	"486999139.527749"	"5"	"0"	"0"	""	""	""	""	"6"	"8"	"3"	"NoMSn"	"[M-H]-1"	"231112218.767898"	"163849011.006791"	"260094132.560202"	"111237328.050834"	"354970454.728421"	"286527517.023137"	"96232922.6946407"	"3549626.105303"	"5155904.7936338"	"483114437.697402"	"486990745.453766"	"397267344.664397"	"332134483.310867"	"119638266.915305"	"269099533.426225"	"1877018.48025038"	"28125909.0979126"	"37905905.2564433"	"63437078.5123283"	"297808252.169448"	"206272882.929237"	"255304873.936939"	"187444290.52491"	"2576541.14272089"	"307923565.811556"	"94878693.1008065"	"11667979.9917273"	"66822056.415127"	"11415672.3477755"	"104986446.238547"	"101473915.048883"	"100678418.970375"	"97605321.8238485"	"100642948.632371"	"104518045.346917"	"10.0"	"10.0"	"9.5"	"10.0"	"10.0"	"10.0"	"10.0"	"9.5"	"9.5"	"10.0"	"10.0"	"10.0"	"10.0"	"9.5"	"9.5"	"9.5"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"8.9"	"9.5"	"10.0"	"8.4"	"10.0"	"9.5"	"10.0"	"10.0"	"10.0"	"9.5"	"10.0"	"10.0"
"7"	"C"	"False"	"4-Phenolsulfonic acid"	"C6 H6 O4 S"	"Full match"	"Full match"	"No results"	"Full match"	"2.13"	"173.99905"	"172.99177"	"0.551"	"445172296.857932"	"3"	"6"	"0"	"33.9"	"52.3"	"45.6"	""	"6"	"18"	"5"	"PreferredDDA"	"[M-H]-1"	"471512710.042705"	"16355922.611818"	"179489690.837109"	"27869675.2628943"	"58865204.27819"	"26525718.1605667"	"149808169.683691"	"143416715.371534"	"16465396.3959163"	"209309569.567306"	"23878271.20987"	"343727189.498476"	"30921520.1250402"	"6374197.96141583"	"377364381.110287"	"11924981.7585281"	"665122.176984053"	"247793502.887626"	"306607925.161964"	"21454266.8174804"	"339067074.208971"	"380936584.076745"	"291714951.143153"	"38839429.1367632"	"131333348.077253"	"64083030.2730656"	"234658574.642522"	"145414864.353703"	"16358.7492566288"	"232139581.831413"	"224173810.811905"	"212097552.909066"	"209059845.941082"	"210538690.094676"	"232696100.252407"	"8.4"	"9.5"	"9.5"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"9.5"	""	"9.5"	"8.9"	"8.9"	"8.4"	"8.4"	"8.4"	""	"8.9"	"8.9"	"9.5"	"8.4"	"8.9"	"8.9"	"8.9"	"9.5"	""	"8.9"	"8.4"	""	"8.9"	"8.9"	"8.9"	""	"8.9"	"8.9"
