"Compounds ID"	"Tags"	"Checked"	"Name"	"Formula"	"Annot. Source: Predicted Compositions"	"Annot. Source: mzCloud Search"	"Annot. Source: mzVault Search"	"Annot. Source: ChemSpider Search"	"Annot. DeltaMass [ppm]"	"Calc. MW"	"m/z"	"RT [min]"	"Area (Max.)"	"# ChemSpider Results"	"# mzCloud Results"	"# mzVault Results"	"mzCloud Best Match"	"mzCloud Best Match Confidence"	"mzCloud Best Sim. Match"	"mzVault Best Match"	"# Usable QC"	"RSD QC Areas [%]"	"RSD Corr. QC Areas [%]"	"MS2"	"Reference Ion"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 1.raw (F1)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 2.raw (F2)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 3.raw (F3)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 4.raw (F4)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 5.raw (F5)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 6.raw (F6)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 7.raw (F7)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 8.raw (F8)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 9.raw (F9)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 10.raw (F10)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 11.raw (F11)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 12.raw (F12)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 13.raw (F13)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 14.raw (F14)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 15.raw (F15)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 16.raw (F16)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 17.raw (F17)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 18.raw (F18)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 19.raw (F19)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 20.raw (F20)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 21.raw (F21)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 22.raw (F22)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 23.raw (F23)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 24.raw (F24)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 25.raw (F25)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 26.raw (F26)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 27.raw (F27)"	"Norm. Area: 220923_SG_Fredrik_RP_biological sample 28.raw (F28)"	"Norm. Area: 220923_SG_Fredrik_RP_extractionblank_2.raw (F32)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_1.raw (F36)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_2.raw (F37)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_3.raw (F38)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_4.raw (F39)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_5.raw (F40)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_6.raw (F41)"	"Norm. Area: 220923_SG_Fredrik_RP_QCPool_7.raw (F42)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 1.raw (F1)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 2.raw (F2)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 3.raw (F3)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 4.raw (F4)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 5.raw (F5)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 6.raw (F6)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 7.raw (F7)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 8.raw (F8)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 9.raw (F9)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 10.raw (F10)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 11.raw (F11)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 12.raw (F12)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 13.raw (F13)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 14.raw (F14)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 15.raw (F15)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 16.raw (F16)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 17.raw (F17)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 18.raw (F18)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 19.raw (F19)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 20.raw (F20)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 21.raw (F21)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 22.raw (F22)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 23.raw (F23)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 24.raw (F24)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 25.raw (F25)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 26.raw (F26)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 27.raw (F27)"	"Peak Rating: 220923_SG_Fredrik_RP_biological sample 28.raw (F28)"	"Peak Rating: 220923_SG_Fredrik_RP_extractionblank_2.raw (F32)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_1.raw (F36)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_2.raw (F37)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_3.raw (F38)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_4.raw (F39)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_5.raw (F40)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_6.raw (F41)"	"Peak Rating: 220923_SG_Fredrik_RP_QCPool_7.raw (F42)"
"1"	"D"	"False"	"Lysolecithin"	"C24 H50 N O7 P"	"Full match"	"Invalid mass"	"No results"	"Full match"	"0.27"	"495.33263"	"496.33990"	"13.115"	"7088114082.52367"	"6"	"3"	"0"	""	""	"29.4"	""	"7"	"2"	"1"	"PreferredDDA"	"[M+H]+1"	"5814082338.48648"	"7100396567.44574"	"6381433697.7308"	"6503107495.4519"	"5562595730.52149"	"6450033974.83763"	"5132538714.81855"	"6381542179.31247"	"4756354708.66794"	"5443333170.16617"	"6559447029.87973"	"5578564548.49088"	"7109894985.76941"	"6527342298.53855"	"5548217310.88703"	"6087437661.80292"	"6287944009.03591"	"6141397721.92364"	"4397636224.18248"	"4912294966.35824"	"5670944121.91921"	"5148740897.75805"	"6068931081.57165"	"6532874514.11871"	"4435829368.28236"	"4692537290.96249"	"6246719874.88467"	"5491691665.51117"	"20057.5121419097"	"6163168804.07003"	"6238641252.95938"	"6253785801.50836"	"6084269062.30869"	"6163292443.60968"	"6236249754.65665"	"6206182709.22804"	"9.5"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"8.9"	"9.5"	"9.5"	"8.9"	"8.9"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"8.9"	"9.5"	"9.5"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"10.0"	"9.5"	"9.5"	"8.9"	""	"8.9"	"9.5"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"
"2"	"D"	"False"	"1-Linoleoyl-2-Hydroxy-sn-glycero-3-PC"	"C26 H50 N O7 P"	"Full match"	"No results"	"No results"	"Full match"	"0.25"	"519.33262"	"520.33990"	"12.568"	"5355050439.32574"	"3"	"0"	"0"	""	""	""	""	"7"	"1"	"1"	"PreferredDDA"	"[M+H]+1"	"4440026470.62862"	"5411526296.84153"	"4442721425.86538"	"4675454744.32062"	"3789023393.48956"	"4643978746.59809"	"3803312005.74324"	"3898048656.51365"	"3350139476.32774"	"3404997287.72851"	"5255467862.05597"	"4353362979.0969"	"5348774651.95"	"4847437330.36057"	"4311418630.35222"	"4392683533.83015"	"4011890508.94057"	"3717883378.38165"	"3024639881.00134"	"3822266088.38043"	"4427933170.58732"	"3810872952.9113"	"4958311674.27978"	"4909625103.9076"	"2747244657.67903"	"3482719272.5538"	"5005595699.61615"	"3724661599.82382"	"19289.5791410178"	"4470928272.47133"	"4495670670.20786"	"4483777017.40448"	"4455005042.54335"	"4439003470.32599"	"4482630292.49892"	"4503778677.01029"	"9.5"	"9.5"	"9.5"	"8.9"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"8.9"	"8.9"	"9.5"	"8.9"	"9.5"	"9.5"	"8.9"	"9.5"	""	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"9.5"
"3"	"C"	"False"	"13-hydroxy-6-(1-hydroxyethyl)-12,14-dimethyl-3-methylidene-15-nonyl-9-(propan-2-yl)-1-oxa-4,7,10-triazacyclopentadecane-2,5,8,11-tetrone"	"C28 H49 N3 O7"	"No match"	"Invalid mass"	"No results"	"No match"	"-33389.27"	"521.34831"	"522.35559"	"13.572"	"4955664133.53252"	"10"	"4"	"0"	"55.1"	"7.8"	"23.1"	""	"7"	"2"	"2"	"PreferredDDA"	"[M+H]+1"	"3865757904.93775"	"4559623109.50942"	"3841576953.34129"	"3894078029.2691"	"3313775158.87046"	"3851752092.47637"	"3280106958.60129"	"4259580864.42912"	"2461940718.90535"	"3091305009.57052"	"4155539618.19293"	"3895763725.15959"	"4964669824.60292"	"3958805403.38521"	"4039242399.65236"	"3398061557.45637"	"3507870998.99416"	"3696370643.09077"	"3203781258.95435"	"3261273651.8398"	"4119448152.38948"	"3832696661.21805"	"4327068346.56269"	"4483587054.56767"	"2094921259.51335"	"3262899768.17234"	"4859622371.60382"	"3244897237.20904"	"16529.8979648378"	"3946572887.17676"	"4020545144.54866"	"4023022069.26272"	"3954273872.17159"	"4018792465.40061"	"4100589284.16074"	"3873639036.52158"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"9.5"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"9.5"	"9.5"	"10.0"	"9.5"	"10.0"	"9.5"	"10.0"	"10.0"	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"	"10.0"	"10.0"	""	"10.0"	"10.0"	"10.0"	"9.5"	"9.5"	"10.0"	"10.0"
"4"	"C"	"False"	"13-(dodecan-2-yl)-6-(1-hydroxyethyl)-3-(hydroxymethyl)-12-methyl-9-(propan-2-yl)-1-oxa-4,7,10-triazacyclotridecane-2,5,8,11-tetrone"	"C28 H51 N3 O7"	"No match"	"Invalid mass"	"No results"	"No match"	"-33264.93"	"523.36397"	"524.37126"	"14.759"	"2851372391.64409"	"4"	"4"	"0"	"50.3"	"62.2"	"29.3"	""	"7"	"2"	"1"	"PreferredDDA"	"[M+H]+1"	"2054379937.40564"	"2912813040.39264"	"2665694320.83012"	"2409237412.07596"	"2301389104.11341"	"2315420966.47034"	"1781578037.27458"	"2846347306.53252"	"1931751595.20143"	"2112309513.1871"	"2232020188.44957"	"1914080386.0347"	"2751185719.25418"	"2725715810.06415"	"2048254221.13611"	"2458366683.5503"	"2397367386.84337"	"2193244442.15813"	"1502143424.09038"	"1723913079.45603"	"1860633876.78969"	"1843348093.13568"	"2121714361.14303"	"2517633458.39239"	"1340676455.24748"	"1443305093.26245"	"2270884046.65793"	"2250563447.06201"	"17143.411349158"	"2351891853.84269"	"2350574389.43549"	"2358692034.97702"	"2311590455.43263"	"2358506076.56679"	"2340368216.2595"	"2361107767.17994"	"8.9"	"9.5"	"9.5"	"8.9"	"9.5"	"8.9"	"9.5"	"9.5"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"	"6.7"	"9.5"	"8.9"	"9.5"	"8.9"	"9.5"	"8.9"	"9.5"	"9.5"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"8.9"	""	"9.5"	"9.5"	"9.5"	"9.5"	"10.0"	"9.5"	"9.5"
"5"	"A"	"False"	"BETAINE"	"C5 H11 N O2"	"Full match"	"Partial match"	"Full match"	"Partial match"	"-0.26"	"117.07895"	"118.08620"	"1.022"	"2174286715.51624"	"43"	"7"	"1"	"88.9"	"9.4"	"21.5"	"71.6"	"7"	"10"	"10"	"PreferredDDA"	"[M+H]+1"	"1189130440.95882"	"1693987745.4807"	"1596343523.4701"	"509749744.359056"	"913448653.325332"	"1743060147.25911"	"1196841863.47592"	"1624831956.72403"	"1368379905.30837"	"1407983455.83041"	"2199506736.39253"	"1626433438.25438"	"1650661630.90678"	"1564143931.48"	"507344947.375846"	"658918635.215269"	"1202338015.64445"	"1445379557.78986"	"886020689.708941"	"883242012.942488"	"1527088045.92468"	"1136508581.40582"	"1530818021.22679"	"867527033.692211"	"328240886.114293"	"259396935.834303"	"1250611601.25301"	"474201073.909157"	"38262502.1169187"	"1547329889.41117"	"1184090683.70039"	"1513897658.76986"	"1270136774.15664"	"1461576435.09321"	"1440295751.98684"	"1331203662.89115"	"7.3"	"7.3"	"7.3"	"8.4"	"8.4"	"8.4"	"6.2"	"7.8"	"6.7"	"7.3"	"8.9"	"8.4"	"6.2"	"7.8"	"8.4"	"7.8"	"8.9"	"8.4"	"7.8"	"6.2"	"7.8"	"8.4"	"7.3"	"7.8"	"8.4"	"9.5"	"8.4"	"8.4"	""	"7.8"	"8.4"	"7.8"	"6.7"	"8.4"	"7.8"	"6.7"
"72"	""	"False"	"Palmitoyl sphingomyelin"	"C39 H79 N2 O6 P"	"Not the top hit"	"Full match"	"No results"	"Full match"	"1.04"	"702.56831"	"703.57559"	"16.858"	"1281955981.52543"	"7"	"3"	"0"	"93.9"	"9.7"	"23.4"	""	"6"	"13"	"13"	"PreferredDDA"	"[M+H]+1"	"791534865.15615"	"988207002.689077"	"923205975.407286"	"1292897315.89237"	"896449561.671074"	"1094985677.877"	"721768662.44358"	"704157186.618964"	"1045441467.15279"	"972825860.411568"	"622877487.967232"	"877091182.418013"	"1220535451.02977"	"826470231.890169"	"872291858.431195"	"926867679.366927"	"894267219.85317"	"1234886066.44068"	"906194583.285507"	"843115785.314631"	"675934629.976235"	"845725884.684087"	"1014633502.70117"	"818155122.607239"	"1040567137.83989"	"913355460.555629"	"470115962.25628"	"750497301.356918"	"163835.846429307"	"984033685.947274"	"1005395689.68774"	"1095751975.05357"	"1266605961.34869"	"661369376.354161"	"1141386531.77032"	"876237398.868765"	"6.2"	"7.3"	"7.3"	"7.3"	""	"7.3"	""	""	"7.3"	""	"7.3"	""	""	"6.7"	""	""	"7.8"	"6.7"	"6.7"	""	"7.3"	""	"6.2"	"7.3"	"7.3"	"7.3"	"7.3"	""	""	"7.3"	"7.3"	"7.8"	"7.8"	""	"6.7"	"6.7"
"6"	"D"	"False"	"(2R)-3-Hydroxy-2-[(9Z,12E)-9,12-octadecadienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate"	"C26 H50 N O7 P"	"Full match"	"Invalid mass"	"No results"	"Full match"	"0.38"	"519.33269"	"520.33998"	"12.297"	"1160927524.47542"	"3"	"12"	"0"	""	""	"36.5"	""	"7"	"2"	"2"	"PreferredDDA"	"[M+H]+1"	"520349686.790214"	"672592717.007241"	"486239399.465743"	"560840708.612782"	"444651371.500134"	"546249601.068381"	"399588709.719127"	"421201455.623408"	"333706489.97882"	"326969036.231961"	"623890092.220883"	"507175157.853063"	"725591133.887886"	"563721583.396848"	"518705095.006069"	"459384420.531221"	"413265696.704637"	"377771762.77449"	"297272431.117675"	"552837772.631689"	"503902975.419722"	"409279636.462322"	"585891179.682177"	"663783398.033138"	"1163177689.00617"	"353774253.34364"	"622480028.453022"	"364232355.546035"	"10297.7021390997"	"537945239.048592"	"541272323.647384"	"536463113.083371"	"518453060.638146"	"522857417.764863"	"541940978.641064"	"543789415.813692"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"8.9"	"8.9"	"9.5"	"9.5"	"9.5"	"9.5"	"8.9"	"9.5"	"9.5"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"8.9"	"9.5"	"9.5"	"8.9"	"8.9"	"9.5"	""	"9.5"	"9.5"	"9.5"	"8.9"	"8.9"	"8.9"	"8.9"
"8"	"D"	"False"	"1-arachidonoyl-sn-glycero-3-phosphocholine"	"C28 H50 N O7 P"	"Full match"	"Invalid mass"	"No results"	"Full match"	"0.19"	"543.33259"	"544.33987"	"12.603"	"1112583247.59922"	"3"	"3"	"0"	""	""	"23.1"	""	"7"	"1"	"1"	"PreferredDDA"	"[M+H]+1"	"1122959816.13265"	"903058048.352305"	"729931435.792539"	"854461568.72374"	"826661983.592433"	"834449651.977057"	"902288157.267334"	"760879355.241854"	"493172757.150949"	"664302472.809565"	"716868007.98688"	"994162256.007782"	"1033463209.05485"	"741359604.088061"	"966411045.132166"	"789370444.32721"	"724022509.706594"	"677885280.827127"	"880982520.024777"	"713447192.049601"	"894984610.205962"	"903081596.765983"	"1089756958.63969"	"839151242.480388"	"369142810.883338"	"924385424.825118"	"1007921878.06063"	"582801103.221032"	"15981.7211299142"	"867809293.838753"	"869877003.441943"	"873872055.930601"	"859758913.881606"	"857975879.827433"	"870197967.819911"	"874885072.390211"	"10.0"	"9.5"	"9.5"	"8.9"	"9.5"	"9.5"	"10.0"	"9.5"	"9.5"	"9.5"	"8.9"	"7.8"	"9.5"	"8.9"	"8.9"	"10.0"	"9.5"	"8.9"	"9.5"	"8.9"	"8.9"	"9.5"	"9.5"	"8.9"	"8.9"	"9.5"	"8.9"	"10.0"	""	"9.5"	"9.5"	"10.0"	"8.9"	"9.5"	"9.5"	"9.5"
"9"	""	"False"	"16-acetyl-9-hydroxy-4-(2-methylpropyl)-2,5,16-triazatetracyclo[7.7.0.0¬?,‚Å∑.0¬a‚Å∞,¬a‚Åµ]hexadeca-10,12,14-triene-3,6-dione"	"C19 H23 N3 O4"	"No match"	"Invalid mass"	"No results"	"No match"	"47660.51"	"374.19170"	"375.19899"	"11.170"	"958605611.738271"	"2"	"6"	"0"	"88.8"	"64.7"	""	""	"7"	"1"	"1"	"PreferredDDA"	"[M+H]+1"	"609858674.326488"	"692861456.498355"	"629572898.31877"	"550514587.768854"	"750225867.047276"	"750657769.159073"	"720567381.649983"	"735020320.668099"	"543170330.566832"	"887416006.77568"	"960705847.679081"	"876069912.668944"	"827403000.911096"	"817556055.765696"	"705140185.637415"	"287188410.995498"	"651159771.866384"	"778188065.963772"	"643082517.063828"	"578275499.45669"	"642584471.178296"	"631097861.297841"	"608052876.128322"	"15483311.0057478"	"492099085.085612"	"569494500.971571"	"579697722.273265"	"562998543.812222"	"68918326.0175519"	"616520594.389558"	"619226422.120592"	"633424994.809286"	"613472481.563452"	"610903208.678829"	"621328967.260764"	"625117200.409195"	"9.5"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"9.5"	"10.0"	"9.5"	"9.5"	"10.0"	"9.5"	"10.0"	"10.0"	"9.5"	"10.0"	"9.5"	"10.0"	"9.5"	"10.0"	"10.0"	"10.0"	"9.5"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"	"10.0"
"10"	"D"	"False"	"2-palmitoyl-sn-glycero-3-phosphocholine"	"C24 H50 N O7 P"	"Full match"	"Invalid mass"	"No results"	"Full match"	"0.48"	"495.33273"	"496.34001"	"12.795"	"951367081.322794"	"6"	"14"	"0"	""	""	"38.4"	""	"7"	"3"	"2"	"PreferredDDA"	"[M+H]+1"	"693172845.773359"	"913965627.658288"	"654245371.446665"	"816181391.093415"	"664278761.978676"	"794793712.046109"	"552977076.279405"	"679848442.491617"	"422210060.944923"	"520419234.461048"	"794708815.234794"	"645186938.765716"	"949292287.541062"	"756017610.366622"	"592016745.987113"	"671566733.287756"	"640318190.133516"	"715017152.764254"	"496923842.27566"	"578164194.949907"	"685263398.566755"	"592080366.763728"	"740440779.59836"	"851898378.016624"	"618455698.071629"	"511771377.461863"	"828311952.986607"	"592829909.088499"	"11851.0574114961"	"776034403.73495"	"796664173.825367"	"789188003.373864"	"753619071.665416"	"770261374.454648"	"786433011.018472"	"795088360.218282"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"9.5"	"8.9"	"8.9"	"8.9"	""	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"	"8.9"
