Sample P15 P19 P26 P28 P6 P5 P9 P22 P21 P23 P4 P14 P3 P18 P16 P20 P17 P24 P11 P27 P8 P10 P7 P2 P13 P12 P25 QC1 QC2 QC3 QC4 QC5 QC6 blank
CalcMWRT A2 IBE2 IBE1 ENT ENT ENT A1 IBE1 IBE2 IBE1 ENT A2 ENT IBE2 A2 IBE2 IBE2 IBE1 A1 ENT A1 A1 A1 ENT A2 A2 IBE1 QC QC QC QC QC QC QC
142.0245/5.269 1602475854.84254 1481895587.81766 1621131470.37296 1555708876.05356 1498830281.14279 1477186396.15341 1502520769.60783 1452798231.9063 1457659155.0615 1481390804.69529 1444040645.01148 1430954802.62763 1362052132.73099 1435214295.64821 1465350194.61167 1364851280.12313 1441667480.33703 1418434355.05069 1409759409.7333 1391792521.98656 1358402883.078 1437748768.36552 1331382654.27152 1351458965.25031 1403985913.94985 1345811347.56382 1305532719.8717 1540272619.01982 1538139580.68233 1483788062.00661 1453442557.62551 1428346245.75535 1588455247.57427 242620560.890894
216.07484/7.238 537459132.021648 489641163.204519 716422072.421413 609412432.183563 592666961.861139 565336941.290795 569114977.115507 519783489.130211 736657143.500883 408840569.249707 483556306.253724 397149515.171594 539800066.556938 481108922.943375 508090921.790473 463813635.394874 517147566.733965 480467229.806155 635874286.105709 787347505.853299 468428870.941258 612037748.781973 363985101.949855 885302152.730364 541946554.537602 544084265.748506 437422880.391925 582400153.10724 572425657.364052 539589267.183794 547160557.865754 522877325.387246 601900224.063149 6788.13457801681
280.24074/0.601 642823648.006591 255795000.058744 120350635.772104 321781400.255112 389069415.709481 297224302.971842 450604075.732759 107803766.889219 49756358.1025523 138313660.982239 266242349.138119 404917323.824874 227642248.488783 75707732.5444643 471015232.41458 82138488.7843854 87848250.0152965 115657658.942994 416753412.107439 320959286.621934 361593601.310747 354208098.019747 341590180.980903 222245306.486263 460233232.610207 378705661.236365 101967230.763541 307568007.306388 329673558.927216 283791818.586264 281850856.050438 279328063.248824 331108339.089318 25549.0067265755
306.03065/5.265 452148563.732172 411453704.213912 461152171.495384 439690937.13413 423368107.622364 411133837.440507 426919569.468364 407710996.592418 414562228.345896 426918526.415129 409819951.056401 406158380.767845 383243193.812883 412891747.66687 425527864.829865 388845354.455513 417229066.707692 408424362.471117 407313057.382675 400519435.070771 395932605.169325 419951421.047626 381349055.816398 389311517.170764 411550788.230506 393269529.407006 385513383.001452 436056076.659994 434995701.452575 427119402.803761 419938452.167326 419085137.454171 443294894.045513 596422.770653996
388.03394/5.265 331821093.901928 299626733.605619 337933830.996769 322053717.660912 308061924.263479 295479646.298022 313140269.325827 297791770.906634 302867553.887629 313079277.458627 300167968.0858 294869147.551765 277904117.491385 300113316.255586 309339494.994904 281602211.600767 306302474.936273 297122617.13582 296458052.82248 289953758.258478 287613758.880611 306665567.805892 275847514.89429 281820978.851425 300814675.661678 286344817.896015 279349067.356647 319660243.889976 321647695.09492 311536189.945156 307376641.481821 308123769.069748 325837184.469413 184573.158858444
146.06953/6.506 115618105.872395 154904304.669307 181484388.974573 127780611.587279 113596219.150532 116618717.957393 108283617.456486 150726012.633578 132044799.256754 125854970.755126 122838358.010178 102897314.3274 121906080.59589 129397777.100786 112245802.562743 116834602.093792 123120275.507296 124967657.45984 111884800.742742 100550405.129861 88259112.1907172 116384260.593357 84465289.6355226 118186886.280328 108882678.965578 104624378.282329 124044006.490258 133961384.807168 133665197.059143 124346776.860633 119723276.357691 122773144.230804 138074821.485026 8023.09908158102
202.03039/0.532 48043576.7554605 63083170.2829659 22919242.1197107 44109762.2920559 16228100.1180484 42494144.3639759 90265847.2785317 24568180.0436744 18306037.7008985 26815846.8298754 38199608.131669 46537811.0327171 30479931.8288879 165909.575250812 63799160.062403 48672406.1133041 29256569.2511109 23645947.3454792 33965569.8769288 28150204.4215724 106423265.802969 103836076.167482 144410736.096674 194753.100351492 87270056.2119026 92427177.8937154 21428253.3118995 57550843.9776494 53351247.3677976 50961113.9497565 51292443.2170823 48331629.5662847 57971723.694787 12675.2731282493
131.09497/4.395 145862527.012981 93169902.3621208 111492249.962825 99984906.736405 76154542.852092 87123141.2253465 134292025.391532 80024253.9214717 73057148.9983188 76797683.5427663 79810089.9460667 112413946.206914 94112574.8180924 83807664.135168 133131311.972905 63099954.1930585 84383833.1972223 67759897.8560123 117297728.084504 66269603.4673629 99600728.5135162 124417941.489198 101554324.109092 84521815.242658 114847910.400503 101975463.148196 62393457.5660404 109173780.773989 108712348.847994 102511916.961502 98493499.7031026 98375986.5013393 112428855.477853 14118.9306056694
90.03193/4.833 38198968.9411246 48508596.0249861 50494017.4596466 47003452.7017844 53329956.0110586 48794013.8396761 41627010.8729722 42897008.0074609 45509919.1491823 46281411.7420268 42232064.1316929 41108008.7048331 46585664.7900257 48447290.1738148 32493166.0600976 46265440.5525358 43726946.1381822 41225244.9565212 30614689.0519114 52475716.5801816 47343209.5865639 30300804.6380102 27581172.6590926 35599707.6067357 57179096.9728491 48662019.5023019 60761803.0138701 43460080.4995313 44893603.1094125 50315814.292728 52538239.2463242 54972395.7580963 38501870.9230306 2268733.56920838
