Sample P15 P19 P26 P28 P6 P5 P9 P22 P21 P23 P4 P14 P3 P18 P16 P20 P17 P24 P11 P27 P8 P10 P7 P2 P13 P12 P25 QC1 QC2 QC3 QC4 QC5 QC6 QC7 blank
CalcMWRT A2 IBE2 IBE1 ENT ENT ENT A1 IBE1 IBE2 IBE1 ENT A2 ENT IBE2 A2 IBE2 IBE2 IBE1 A1 ENT A1 A1 A1 ENT A2 A2 IBE1 QC QC QC QC QC QC QC blank
117.07895/1.022 1189130440.95882 1693987745.4807 1596343523.4701 509749744.359056 913448653.325332 1743060147.25911 1196841863.47592 1624831956.72403 1368379905.30837 1407983455.83041 2199506736.39253 1626433438.25438 1650661630.90678 1564143931.48 507344947.375846 658918635.215269 1202338015.64445 1445379557.78986 886020689.708941 883242012.942488 1527088045.92468 1136508581.40582 1530818021.22679 867527033.692211 259396935.834303 1250611601.25301 474201073.909157 1547329889.41117 1184090683.70039 1513897658.76986 1270136774.15664 1461576435.09321 1440295751.98684 1331203662.89115 38262502.1169187
543.33259/12.603 1122959816.13265 903058048.352305 729931435.792539 854461568.72374 826661983.592433 834449651.977057 902288157.267334 760879355.241854 493172757.150949 664302472.809565 716868007.98688 994162256.007782 1033463209.05485 741359604.088061 966411045.132166 789370444.32721 724022509.706594 677885280.827127 880982520.024777 713447192.049601 894984610.205962 903081596.765983 1089756958.63969 839151242.480388 924385424.825118 1007921878.06063 582801103.221032 867809293.838753 869877003.441943 873872055.930601 859758913.881606 857975879.827433 870197967.819911 874885072.390211 15981.7211299142
131.09453/1.4 660454890.566513 582586591.550631 465501953.370992 539856681.529542 91367595.4938397 538679943.104926 660673932.619289 586354070.060594 485928516.384089 422960713.530197 497647367.748806 673342089.938933 637582302.758335 572144743.757075 680481458.255481 523372822.003984 564704770.296282 377498842.075901 626760243.301492 451096143.310513 642860960.704296 639656070.778535 668089028.273648 567864909.714791 590723354.539238 625189711.349915 571025494.718715 666574942.624291 586129329.368607 598820568.649124 629121096.418931 606529570.991699 622968817.026058 627906784.595407 464335.661227848
103.09969/1.003 404466910.690848 326281662.686886 255392510.419007 346404766.47126 265674269.204091 350746000.436972 348171966.070995 328888698.434294 217770707.935724 119808817.163301 302456031.00941 196108176.243094 527956077.97892 326391431.937393 382704962.950244 265152239.805262 241499187.326224 239236063.169535 348539539.436303 282563952.455606 637387798.299568 445196610.058158 641605679.9374 206815696.329386 439019173.329087 681239503.313808 292110584.833378 404496953.390998 402874410.826242 365707970.741971 408680386.525986 377899026.591481 420680041.11192 382067763.200621 683910.916375512
521.34832/13.28 364615106.92841 436282119.450722 317512722.429818 373802086.311681 324519996.922158 359179995.987148 286420325.893729 366782981.517933 180390378.149319 248119022.850391 392099244.872842 366077461.970302 528845389.370765 344437328.26898 379606914.235678 270371846.140544 270518349.117978 316959360.315972 273944998.315744 430616012.503436 401246167.133671 358439796.201563 402497001.995405 522131763.501195 293938887.910782 508755604.904225 266722991.497598 389265013.378902 402006022.608881 393484392.178254 383828655.566033 387731644.825458 397472539.112386 396420624.247771 11324.9396408852
509.34843/13.745 196874047.432988 366607751.240731 319990776.994759 248094859.401108 259385564.043764 244908261.075484 187346343.725465 341116853.086458 203572985.10864 233575035.740218 236299381.164526 247259772.850098 275587199.291686 344044600.581094 210824800.981053 250137786.711112 562185739.978702 263446683.010057 147584159.275284 175118362.972655 226670147.929686 185670799.363026 278245947.299994 235988809.444967 132126314.5399 308929378.854292 215205321.045641 270566472.347506 280985386.802856 279527871.693076 267301269.861417 273362782.41053 277688855.228126 276442112.931646 13359.9518265784
292.09077/1.104 187694266.840458 227844999.642528 229124261.983691 249998357.33708 220067969.771756 241840848.742507 211687413.818248 282119701.084549 359760349.869512 130281278.653542 226201747.988932 183666663.64377 294456635.441886 225186807.059024 296822673.044161 232720506.878595 225920875.665666 199530980.242663 279950349.349942 388055816.533068 178071631.670255 247521339.221497 172119637.091887 456729921.452208 329504090.502612 333615178.145009 294737972.868221 253802625.534483 257957951.437301 203959699.863487 210102399.99313 266683530.572028 213450859.751474 266801518.666446 49546.3263597002
161.10523/1.007 78081292.8707205 208807278.750333 193206741.751695 212840075.624573 190539075.289178 151342009.264313 98198002.1685821 363028203.075105 213128695.569242 166256657.110428 216737861.342559 64919600.8369445 339024866.787323 207214899.216321 59975280.9404817 272010662.19707 198951851.338081 227378952.013612 177121331.036149 209610651.58829 77005178.6387428 160126603.263172 115911119.853311 149391157.183571 105300381.644607 124855272.396629 231545613.857541 162732451.068936 203291377.581598 158947502.580061 130122606.309294 184144900.238727 172059401.03689 181858609.546125 109889.368997712
85.08913/1.391 218708769.535972 199951973.119918 211523884.141435 182691865.393998 158144109.388796 177994274.367828 222531574.592485 205426436.046308 168867934.414955 195933238.173483 168514460.355068 222718284.775191 217876002.753186 202211156.134236 227665400.780555 180385664.018622 193896794.109584 174287661.860576 207794291.327887 156932493.122635 215795279.951071 215004715.636661 222651040.641208 195710974.121835 197781133.878823 204786954.569203 200272946.944298 228714819.167185 200914938.051375 206308960.396197 215073489.923203 209363158.906742 213738683.17818 214989398.82448 4259885.42915184
