CalcMWRT species CalcMW RTmin P15 P19 P26 P28 P6 P5 P9 P22 P21 P23 P4 P14 P3 P18 P16 P20 P17 P24 P11 P27 P8 P10 P7 P2 P1 P13 P12 P25 blank QC1 QC2 QC3 QC4 QC5 QC6 QC7 PR_P15 PR_P19 PR_P26 PR_P28 PR_P6 PR_P5 PR_P9 PR_P22 PR_P21 PR_P23 PR_P4 PR_P14 PR_P3 PR_P18 PR_P16 PR_P20 PR_P17 PR_P24 PR_P11 PR_P27 PR_P8 PR_P10 PR_P7 PR_P2 PR_P1 PR_P13 PR_P12 PR_P25 PR_blank PR_QC1 PR_QC2 PR_QC3 PR_QC4 PR_QC5 PR_QC6 PR_QC7
495.33263/13.115 Lysolecithin 495.33263 13.115 5814082338.48648 7100396567.44574 6381433697.7308 6503107495.4519 5562595730.52149 6450033974.83763 5132538714.81855 6381542179.31247 4756354708.66794 5443333170.16617 6559447029.87973 5578564548.49088 7109894985.76941 6527342298.53855 5548217310.88703 6087437661.80292 6287944009.03591 6141397721.92364 4397636224.18248 4912294966.35824 5670944121.91921 5148740897.75805 6068931081.57165 6532874514.11871 4435829368.28236 4692537290.96249 6246719874.88467 5491691665.51117 20057.5121419097 6163168804.07003 6238641252.95938 6253785801.50836 6084269062.30869 6163292443.60968 6236249754.65665 6206182709.22804 9.5 8.9 8.9 9.5 8.9 8.9 8.9 9.5 9.5 8.9 8.9 8.9 8.9 9.5 8.9 8.9 8.9 9.5 9.5 8.9 8.9 8.9 8.9 8.9 10 9.5 9.5 8.9 NA 8.9 9.5 8.9 8.9 9.5 8.9 8.9
519.33262/12.568 1-Linoleoyl-2-Hydroxy-sn-glycero-3-PC 519.33262 12.568 4440026470.62862 5411526296.84153 4442721425.86538 4675454744.32062 3789023393.48956 4643978746.59809 3803312005.74324 3898048656.51365 3350139476.32774 3404997287.72851 5255467862.05597 4353362979.0969 5348774651.95 4847437330.36057 4311418630.35222 4392683533.83015 4011890508.94057 3717883378.38165 3024639881.00134 3822266088.38044 4427933170.58732 3810872952.9113 4958311674.27978 4909625103.9076 2747244657.67903 3482719272.5538 5005595699.61615 3724661599.82382 19289.5791410178 4470928272.47133 4495670670.20786 4483777017.40448 4455005042.54335 4439003470.32599 4482630292.49892 4503778677.01029 9.5 9.5 9.5 8.9 8.9 8.9 9.5 8.9 8.9 9.5 8.9 8.9 8.9 8.9 8.9 8.9 8.9 9.5 8.9 8.9 8.9 8.9 9.5 8.9 9.5 9.5 8.9 9.5 NA 8.9 8.9 8.9 8.9 8.9 8.9 9.5
521.34831/13.572 13-hydroxy-6-(1-hydroxyethyl)-12,14-dimethyl-3-methylidene-15-nonyl-9-(propan-2-yl)-1-oxa-4,7,10-triazacyclopentadecane-2,5,8,11-tetrone 521.34831 13.572 3865757904.93775 4559623109.50942 3841576953.34129 3894078029.2691 3313775158.87046 3851752092.47637 3280106958.60129 4259580864.42912 2461940718.90535 3091305009.57052 4155539618.19293 3895763725.15959 4964669824.60292 3958805403.38521 4039242399.65236 3398061557.45637 3507870998.99416 3696370643.09077 3203781258.95435 3261273651.8398 4119448152.38948 3832696661.21805 4327068346.56269 4483587054.56767 2094921259.51335 3262899768.17234 4859622371.60382 3244897237.20904 16529.8979648378 3946572887.17676 4020545144.54866 4023022069.26272 3954273872.17159 4018792465.40061 4100589284.16074 3873639036.52158 10 10 10 10 10 10 10 9.5 10 10 10 10 10 9.5 9.5 10 9.5 10 9.5 10 10 9.5 9.5 9.5 9.5 10 10 10 NA 10 10 10 9.5 9.5 10 10
523.36397/14.759 13-(dodecan-2-yl)-6-(1-hydroxyethyl)-3-(hydroxymethyl)-12-methyl-9-(propan-2-yl)-1-oxa-4,7,10-triazacyclotridecane-2,5,8,11-tetrone 523.36397 14.759 2054379937.40564 2912813040.39264 2665694320.83012 2409237412.07596 2301389104.11341 2315420966.47034 1781578037.27458 2846347306.53252 1931751595.20143 2112309513.1871 2232020188.44957 1914080386.0347 2751185719.25418 2725715810.06415 2048254221.13611 2458366683.5503 2397367386.84337 2193244442.15813 1502143424.09038 1723913079.45603 1860633876.78969 1843348093.13568 2121714361.14303 2517633458.39239 1340676455.24748 1443305093.26245 2270884046.65793 2250563447.06201 17143.411349158 2351891853.84269 2350574389.43549 2358692034.97702 2311590455.43263 2358506076.56679 2340368216.2595 2361107767.17994 8.9 9.5 9.5 8.9 9.5 8.9 9.5 9.5 8.9 9.5 9.5 9.5 9.5 6.7 9.5 8.9 9.5 8.9 9.5 8.9 9.5 9.5 8.9 8.9 9.5 8.9 8.9 8.9 NA 9.5 9.5 9.5 9.5 10 9.5 9.5
117.07895/1.022 BETAINE 117.07895 1.022 1189130440.95882 1693987745.4807 1596343523.4701 509749744.359056 913448653.325332 1743060147.25911 1196841863.47592 1624831956.72403 1368379905.30837 1407983455.83041 2199506736.39253 1626433438.25438 1650661630.90678 1564143931.48 507344947.375846 658918635.215269 1202338015.64445 1445379557.78986 886020689.708941 883242012.942488 1527088045.92468 1136508581.40582 1530818021.22679 867527033.692211 328240886.114293 259396935.834303 1250611601.25301 474201073.909157 38262502.1169187 1547329889.41117 1184090683.70039 1513897658.76986 1270136774.15664 1461576435.09321 1440295751.98684 1331203662.89115 7.3 7.3 7.3 8.4 8.4 8.4 6.2 7.8 6.7 7.3 8.9 8.4 6.2 7.8 8.4 7.8 8.9 8.4 7.8 6.2 7.8 8.4 7.3 7.8 8.4 9.5 8.4 8.4 NA 7.8 8.4 7.8 6.7 8.4 7.8 6.7
702.56831/16.858 "Palmitoyl sphingomyelin" 702.56831 16.858 791534865.15615 988207002.689077 923205975.407286 1292897315.89237 896449561.671074 1094985677.877 721768662.44358 704157186.618964 1045441467.15279 972825860.411568 622877487.967232 877091182.418013 1220535451.02977 826470231.890169 872291858.431195 926867679.366927 894267219.85317 1234886066.44068 906194583.285507 843115785.314631 675934629.976235 845725884.684087 1014633502.70117 818155122.607239 1040567137.83989 913355460.555629 470115962.25628 750497301.356918 163835.846429307 984033685.947274 1005395689.68774 1095751975.05357 1266605961.34869 661369376.354161 1141386531.77032 876237398.868765 6.2 7.3 7.3 7.3 NA 7.3 NA NA 7.3 NA 7.3 NA NA 6.7 NA NA 7.8 6.7 6.7 NA 7.3 NA 6.2 7.3 7.3 7.3 7.3 NA NA 7.3 7.3 7.8 7.8 NA 6.7 6.7
519.33269/12.297 "(2R)-3-Hydroxy-2-[(9Z,12E)-9,12-octadecadienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate" 519.33269 12.297 520349686.790214 672592717.007241 486239399.465743 560840708.612782 444651371.500134 546249601.068381 399588709.719127 421201455.623408 333706489.97882 326969036.231961 623890092.220883 507175157.853063 725591133.887886 563721583.396848 518705095.006069 459384420.531221 413265696.704637 377771762.77449 297272431.117675 552837772.631689 503902975.419722 409279636.462322 585891179.682177 663783398.033138 1163177689.00617 353774253.34364 622480028.453022 364232355.546035 10297.7021390997 537945239.048592 541272323.647384 536463113.083371 518453060.638146 522857417.764863 541940978.641064 543789415.813692 9.5 9.5 9.5 8.9 9.5 8.9 8.9 9.5 9.5 9.5 9.5 8.9 9.5 9.5 8.9 8.9 9.5 8.9 8.9 9.5 8.9 8.9 8.9 9.5 9.5 8.9 8.9 9.5 NA 9.5 9.5 9.5 8.9 8.9 8.9 8.9
543.33259/12.603 1-arachidonoyl-sn-glycero-3-phosphocholine 543.33259 12.603 1122959816.13265 903058048.352305 729931435.792539 854461568.72374 826661983.592433 834449651.977057 902288157.267334 760879355.241854 493172757.150949 664302472.809565 716868007.98688 994162256.007782 1033463209.05485 741359604.088061 966411045.132166 789370444.32721 724022509.706594 677885280.827127 880982520.024777 713447192.049601 894984610.205962 903081596.765983 1089756958.63969 839151242.480388 369142810.883338 924385424.825118 1007921878.06063 582801103.221032 15981.7211299142 867809293.838753 869877003.441943 873872055.930601 859758913.881606 857975879.827433 870197967.819911 874885072.390211 10 9.5 9.5 8.9 9.5 9.5 10 9.5 9.5 9.5 8.9 7.8 9.5 8.9 8.9 10 9.5 8.9 9.5 8.9 8.9 9.5 9.5 8.9 8.9 9.5 8.9 10 NA 9.5 9.5 10 8.9 9.5 9.5 9.5
374.1917/11.17 16-acetyl-9-hydroxy-4-(2-methylpropyl)-2,5,16-triazatetracyclo[7.7.0.0<c2>?,⁷.0<c2>a⁰,<c2>a⁵]hexadeca-10,12,14-triene-3,6-dione 374.1917 11.17 609858674.326488 692861456.498355 629572898.31877 550514587.768854 750225867.047276 750657769.159073 720567381.649983 735020320.668099 543170330.566832 887416006.77568 960705847.679081 876069912.668944 827403000.911096 817556055.765696 705140185.637415 287188410.995498 651159771.866384 778188065.963772 643082517.063828 578275499.45669 642584471.178296 631097861.297841 608052876.128322 15483311.0057478 492099085.085612 569494500.971571 579697722.273265 562998543.812222 68918326.0175519 616520594.389558 619226422.120592 633424994.809286 613472481.563452 610903208.678829 621328967.260764 625117200.409195 9.5 10 10 10 10 10 10 10 10 10 10 10 10 9.5 10 9.5 9.5 10 9.5 10 10 9.5 10 9.5 10 9.5 10 10 10 9.5 10 10 10 10 10 10
495.33273/12.795 2-palmitoyl-sn-glycero-3-phosphocholine 495.33273 12.795 693172845.773359 913965627.658288 654245371.446665 816181391.093415 664278761.978676 794793712.046109 552977076.279405 679848442.491617 422210060.944923 520419234.461048 794708815.234794 645186938.765716 949292287.541062 756017610.366622 592016745.987113 671566733.287756 640318190.133516 715017152.764254 496923842.27566 578164194.949907 685263398.566755 592080366.763729 740440779.59836 851898378.016624 618455698.071629 511771377.461863 828311952.986607 592829909.088499 11851.0574114961 776034403.73495 796664173.825367 789188003.373864 753619071.665416 770261374.454648 786433011.018472 795088360.218282 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 8.9 9.5 8.9 8.9 8.9 NA 8.9 8.9 8.9 8.9 8.9 8.9 8.9
